time,episode,action_sum,action_Normal,action_ARP_POISONING,action_MITM_DOS,action_REPLAY,action_DNP3_ENUMERATE,answer_Normal,answer_ARP_POISONING,answer_MITM_DOS,answer_REPLAY,answer_DNP3_ENUMERATE,
2025-01-18T12:43:10.506137,6782,73,16,18,15,14,10,16,19,10,13,15,
2025-01-18T12:43:10.578664,6811,29,6,3,10,4,6,11,7,4,1,6,
2025-01-18T12:43:10.745195,6891,80,15,23,16,12,14,11,15,17,17,20,
2025-01-18T12:43:10.784197,6901,10,1,4,3,1,1,0,1,1,4,4,
2025-01-18T12:43:10.795936,6913,12,3,5,2,1,1,1,2,1,3,5,
2025-01-18T12:43:10.796936,6913,0,0,0,0,0,0,0,0,0,0,0,
2025-01-18T12:43:10.807936,6924,11,2,1,4,3,1,3,3,1,3,1,
2025-01-18T12:43:10.908232,6971,47,15,6,12,6,8,11,7,7,12,10,
2025-01-18T12:43:10.912236,6974,3,0,2,0,0,1,0,0,1,2,0,
2025-01-18T12:43:10.961997,6998,24,8,1,4,3,8,5,6,2,5,6,
2025-01-18T12:43:10.996074,7004,6,0,0,2,2,2,1,3,1,0,1,
2025-01-18T12:43:10.999074,7006,2,1,0,0,0,1,2,0,0,0,0,
2025-01-18T12:43:11.049048,7029,23,6,5,5,4,3,5,2,3,9,4,
2025-01-18T12:43:11.060047,7040,11,1,4,1,4,1,2,4,2,1,2,
2025-01-18T12:43:11.117528,7069,29,5,11,4,5,4,7,6,4,8,4,
2025-01-18T12:43:11.123529,7074,5,2,1,2,0,0,2,0,3,0,0,
2025-01-18T12:43:11.319580,7166,92,20,19,14,24,15,18,23,13,22,16,
2025-01-18T12:43:11.374909,7198,32,5,8,6,5,8,4,7,7,9,5,
2025-01-18T12:43:11.405802,7201,3,1,0,1,0,1,1,1,0,1,0,
2025-01-18T12:43:11.418091,7213,12,2,3,1,3,3,2,2,4,3,1,
2025-01-18T12:43:11.612609,7305,92,26,17,17,15,17,21,20,18,20,13,
2025-01-18T12:43:11.718202,7354,49,10,10,6,11,12,10,9,10,11,9,
2025-01-18T12:43:11.827012,7407,53,13,10,10,11,9,12,10,10,13,8,
2025-01-18T12:43:11.844574,7423,16,6,3,0,0,7,2,3,5,5,1,
2025-01-18T12:43:11.896518,7449,26,4,8,6,4,4,6,7,8,4,1,
2025-01-18T12:43:11.899061,7450,1,0,0,0,0,1,0,1,0,0,0,
2025-01-18T12:43:11.932779,7456,6,2,0,1,2,1,1,0,1,2,2,
2025-01-18T12:43:11.987513,7483,27,7,6,3,7,4,4,9,1,10,3,
2025-01-18T12:43:12.103115,7545,62,14,16,14,5,13,18,6,10,14,14,
2025-01-18T12:43:12.137827,7552,7,1,1,1,3,1,1,1,1,1,3,
2025-01-18T12:43:12.143032,7557,5,0,0,1,3,1,1,0,1,2,1,
2025-01-18T12:43:12.149032,7562,5,1,3,0,0,1,2,1,1,1,0,
2025-01-18T12:43:12.151032,7563,1,0,0,0,0,1,0,0,0,0,1,
2025-01-18T12:43:12.160033,7573,10,2,1,3,3,1,0,1,3,4,2,
2025-01-18T12:43:12.211241,7597,24,7,5,5,4,3,8,3,7,4,2,
2025-01-18T12:43:12.251046,7605,8,1,3,0,2,2,0,1,3,3,1,
2025-01-18T12:43:12.257044,7611,6,1,0,1,1,3,0,2,2,2,0,
2025-01-18T12:43:12.306790,7634,23,3,4,5,4,7,6,3,6,4,4,
2025-01-18T12:43:12.416506,7686,52,9,10,15,11,7,10,6,12,10,14,
2025-01-18T12:43:12.533380,7750,64,10,15,9,11,19,13,14,10,15,12,
2025-01-18T12:43:12.627187,7790,40,6,10,10,10,4,6,12,6,8,8,
